21:34:47: Starting /home/yurielnf/Documents/projects/impurityMPS/build/Desktop-Release/example/fbr_dyn_siam_block...
K initial
[matrix size: 0x0]
time m <n0> <n1>  nActive
0.1 4 0.999900056266 0.0013496094405 8
0.2 4 0.999600898998 0.00538128731808 8
0.3 4 0.999104541423 0.0120438838386 8
0.4 4 0.998414310417 0.0212531482053 8
0.5 4 0.997534804283 0.0328932048483 8
0.6 4 0.996471834572 0.0468185766194 8
0.7 4 0.995232353022 0.0628567129842 8
0.8 4 0.993824364708 0.080810970025 8
0.9 4 0.992256829005 0.100463981256 8
1 4 0.99053954975 0.121581349406 8
1.1 4 0.988683056825 0.143915583184 8
1.2 4 0.986698480129 0.167210201828 8
1.3 4 0.9845974193 0.191203920591 8
1.4 4 0.982391810036 0.215634837873 8
1.5 5 0.980093789316 0.240244541685 10
1.6 5 0.977715562354 0.264782054937 10
1.7 6 0.975269272341 0.289007546953 10
1.8 6 0.972766875463 0.312695742864 10
1.9 6 0.97022002063 0.335638975389 10
2 6 0.967639940451 0.357649817956 10
2.1 7 0.965037351545 0.378563268124 12
2.2 7 0.96242235912 0.398238449584 12
2.3 7 0.959804383203 0.416559805366 12
2.4 8 0.957192090422 0.433437784962 12
2.5 8 0.954593345742 0.448809020085 12
2.6 8 0.952015162419 0.462636013867 12
2.7 8 0.949463682804 0.474906352809 12
2.8 8 0.946944163647 0.485631488072 14
2.9 8 0.94446097304 0.494845123177 12
3 8 0.942017600407 0.502601257956 12
3.1 8 0.939616684374 0.508971940101 12
3.2 8 0.937260029291 0.514044805438 12
3.3 8 0.934948663073 0.517920415345 12
3.4 8 0.932682876636 0.520709529645 14
3.5 8 0.930462282517 0.522530313716 14
3.6 8 0.928285879348 0.523505570055 12
3.7 8 0.926152107632 0.523760078175 14
3.8 8 0.92405892509 0.523418016912 12
3.9 8 0.922003875754 0.522600604631 12
4 8 0.919984229816 0.521423871959 12
4.1 8 0.917996836359 0.519997046183 12
4.2 9 0.916038408934 0.51842064829 12
4.3 9 0.914105515863 0.516785304736 12
4.4 10 0.912194643893 0.515170761416 16
4.5 10 0.910302254432 0.513645216373 16
4.6 11 0.90842483557 0.512264967932 16
4.7 11 0.90655894987 0.511074355866 16
4.8 11 0.904701275809 0.510105989813 16
4.9 11 0.902848644668 0.509381229106 16
5 12 0.900998070049 0.508910893135 16
5.1 12 0.899146774781 0.50869616043 16
5.2 12 0.897292208959 0.508729629314 16
5.3 12 0.895432065454 0.508996494263 16
5.4 12 0.89356428952 0.509475803693 16
5.5 12 0.891687084339 0.510141757605 16
5.6 12 0.889798912109 0.510965015737 16
5.7 12 0.887898492275 0.511913968347 16
5.8 12 0.885984796362 0.512955954045 16
5.9 12 0.884057039172 0.514058383957 16
